    -11.00   -0.8419    0.0307
    -10.00   -0.9910    0.0079
     -9.90   -0.9795    0.0079
     -9.80   -0.9680    0.0078
     -9.70   -0.9565    0.0078
     -9.60   -0.9450    0.0078
     -9.50   -0.9335    0.0077
     -9.40   -0.9220    0.0077
     -9.30   -0.9105    0.0077
     -9.20   -0.8990    0.0076
     -9.10   -0.8875    0.0076
     -9.00   -0.8759    0.0076
     -8.90   -0.8644    0.0075
     -8.80   -0.8528    0.0075
     -8.70   -0.8413    0.0075
     -8.60   -0.8297    0.0074
     -8.50   -0.8182    0.0074
     -8.40   -0.8066    0.0074
     -8.30   -0.7950    0.0073
     -8.20   -0.7834    0.0073
     -8.10   -0.7717    0.0073
     -8.00   -0.7600    0.0072
     -7.90   -0.7483    0.0072
      0.00    0.1871    0.0064
      0.10    0.1989    0.0064
      0.20    0.2108    0.0064
      0.30    0.2226    0.0064
      0.40    0.2344    0.0064
      0.50    0.2462    0.0064
      0.60    0.2580    0.0064
      0.70    0.2698    0.0064
      0.80    0.2816    0.0064
      0.90    0.2934    0.0064
      1.00    0.3052    0.0064
      1.10    0.3170    0.0064
      1.20    0.3287    0.0064
      1.30    0.3405    0.0064
      1.40    0.3523    0.0064
      1.50    0.3640    0.0065
      1.60    0.3757    0.0065
      5.70    0.8393    0.0074
      5.80    0.8502    0.0075
      5.90    0.8612    0.0075
      6.00    0.8721    0.0075
      6.10    0.8830    0.0075
      6.20    0.8938    0.0076
      6.30    0.9047    0.0076
      6.40    0.9155    0.0076
      6.50    0.9263    0.0077
      6.60    0.9370    0.0077
      6.70    0.9477    0.0077
      6.80    0.9584    0.0078
      6.90    0.9691    0.0078
      7.00    0.9797    0.0078
      7.10    0.9903    0.0078
      7.70    1.0529    0.0080
      7.80    1.0632    0.0081
      7.90    1.0734    0.0081
      8.00    1.0836    0.0082
      8.10    1.0938    0.0082
      8.20    1.1039    0.0082
      8.30    1.1140    0.0083
      8.40    1.1241    0.0083
      8.50    1.1341    0.0084
      8.60    1.1441    0.0084
      8.70    1.1541    0.0085
      8.80    1.1640    0.0085
      8.90    1.1739    0.0085
      9.00    1.1837    0.0086
      9.10    1.1935    0.0086
      9.20    1.2032    0.0087
      9.30    1.2129    0.0087
      9.40    1.2225    0.0088
      9.50    1.2320    0.0088
      9.60    1.2415    0.0089
      9.70    1.2509    0.0089
      9.80    1.2603    0.0089
      9.90    1.2696    0.0090
     10.00    1.2788    0.0090
     10.10    1.2880    0.0091
     10.20    1.2970    0.0092
